rank,name,path,ranks_present,ranks_expected
genus,Serpentinicella,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Serpentinicella;,5,6
genus,Soehngenia,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Soehngenia;,5,6
genus,Sporanaerobacter,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Sporanaerobacter;,5,6
genus,Sporosalibacterium,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Sporosalibacterium;,5,6
genus,Syntrophotalea,Bacteria;Desulfobacterota;Desulfuromonadia;Syntrophotaleaceae;Syntrophotalea;,5,6
genus,Taonella,Bacteria;Proteobacteria;Alphaproteobacteria;Ferrovibrionales;Taonella;,5,6
genus,TC1,Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;TC1;,5,6
genus,Tepidanaerobacter,Bacteria;Firmicutes;Thermovenabulia;Thermovenabulales;Tepidanaerobacter;,5,6
genus,Tepidimicrobium,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Tepidimicrobium;,5,6
genus,Thermoclostridium,Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae;Thermoclostridium;,5,6
genus,Thermogymnomonas,Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Thermogymnomonas;,5,6
genus,Thermohalobacter,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Thermohalobacter;,5,6
genus,Thermosediminibacter,Bacteria;Firmicutes;Thermovenabulia;Thermovenabulales;Thermosediminibacter;,5,6
genus,Thermovenabulum,Bacteria;Firmicutes;Thermovenabulia;Thermovenabulales;Thermovenabulum;,5,6
genus,Thermovorax,Bacteria;Firmicutes;Thermovenabulia;Thermovenabulales;Thermovorax;,5,6
genus,Thioprofundum,Bacteria;Proteobacteria;Gammaproteobacteria;Thioprofundaceae;Thioprofundum;,5,6
genus,Tindallia,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Tindallia;,5,6
genus,Tissierella,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Tissierella;,5,6
genus,TM7,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;YM;S32;TM7;,7,6
genus,Trichloromonas,Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadaceae;Trichloromonas;,5,6
genus,UCG-012,Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae;UCG-012;,5,6
genus,uncultured,Archaea;Halobacterota;Halobacteria;Halobacterales;uncultured;,5,6
genus,uncultured,Archaea;Halobacterota;Methanocellia;Methanocellales;uncultured;,5,6
genus,uncultured,Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;uncultured;,5,6
genus,uncultured,Archaea;Thermoplasmatota;uncultured;,3,6
genus,uncultured,Bacteria;Firmicutes;Clostridia;Gracilibacteraceae;uncultured;,5,6
genus,uncultured,Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae;uncultured;,5,6
genus,uncultured,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;uncultured;,5,6
genus,uncultured,Bacteria;Proteobacteria;Alphaproteobacteria;Ferrovibrionales;uncultured;,5,6
genus,W5053,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;W5053;,5,6
